,day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
1,-1.0,0.0,PINA_COLADAS,14999.0,38.0,14998.0,53.0,,,15001.0,38.0,15002.0,53.0,,,15000.0,0.0
6,-1.0,100.0,PINA_COLADAS,14999.0,31.0,14998.0,64.0,,,15001.0,31.0,15002.0,64.0,,,15000.0,0.0
10,-1.0,200.0,PINA_COLADAS,14998.0,106.0,,,,,15001.0,106.0,,,,,14999.5,0.0
13,-1.0,300.0,PINA_COLADAS,14999.0,35.0,14998.0,67.0,,,15001.0,35.0,15002.0,67.0,,,15000.0,0.0
16,-1.0,400.0,PINA_COLADAS,14998.0,38.0,14997.0,69.0,,,15000.0,38.0,15001.0,69.0,,,14999.0,0.0
21,-1.0,500.0,PINA_COLADAS,14997.0,27.0,14996.0,52.0,,,15000.0,79.0,,,,,14998.5,0.0
26,-1.0,600.0,PINA_COLADAS,14998.0,93.0,,,,,15001.0,93.0,,,,,14999.5,0.0
29,-1.0,700.0,PINA_COLADAS,15001.0,103.0,,,,,15004.0,103.0,,,,,15002.5,0.0
32,-1.0,800.0,PINA_COLADAS,15001.0,106.0,,,,,15004.0,106.0,,,,,15002.5,0.0
38,-1.0,900.0,PINA_COLADAS,15000.0,93.0,,,,,15003.0,93.0,,,,,15001.5,0.0
42,-1.0,1000.0,PINA_COLADAS,15005.0,86.0,,,,,15008.0,86.0,,,,,15006.5,0.0
46,-1.0,1100.0,PINA_COLADAS,15005.0,37.0,15004.0,74.0,,,15007.0,37.0,15008.0,74.0,,,15006.0,0.0
48,-1.0,1200.0,PINA_COLADAS,15006.0,33.0,15005.0,56.0,,,15009.0,89.0,,,,,15007.5,0.0
55,-1.0,1300.0,PINA_COLADAS,15008.0,90.0,,,,,15011.0,90.0,,,,,15009.5,0.0
58,-1.0,1400.0,PINA_COLADAS,15006.0,80.0,,,,,15009.0,29.0,15010.0,51.0,,,15007.5,0.0
62,-1.0,1500.0,PINA_COLADAS,15009.0,109.0,,,,,15012.0,35.0,15013.0,74.0,,,15010.5,0.0
