coco_mid_price,pc_mid_price,,,,
8000,15000,,,,
7999.5,15000,,,,
7998.5,14999.5,,,Column 1,Column 2
7999.5,15000,,Column 1,1,
7998.5,14999,,Column 2,0.935804793,1
7997,14998.5,,,,
7997.5,14999.5,,,,
7998.5,15002.5,,Column1,,
7997.5,15002.5,,,,
7997,15001.5,,Mean,8035.43,
7999.5,15006.5,,Standard Error,0.440870731,
7998.5,15006,,Median,8040.5,
7998,15007.5,,Mode,8090.5,
7999,15009.5,,Standard Deviation,44.08707313,
7999.5,15007.5,,Sample Variance,1943.670017,
8000.5,15010.5,,Kurtosis,-1.067207819,
8001.5,15013,,Skewness,-0.206192251,
8001.5,15012.5,,Range,164.5,
8002,15013.5,,Minimum,7954,
8001,15011.5,,Maximum,8118.5,
8001.5,15015,,Sum,80354300,
8002,15015.5,,Count,10000,
8001,15011.5,,,,
8001.5,15011.5,,,,
8000.5,15010.5,,,,
8001,15012,,,,
8000.5,15010,,,,
8000.5,15013.5,,,,
7998.5,15008.5,,,,
7999,15008.5,,,,
7998,15005.5,,,,
7999,15006.5,,,,
7998,15007,,,,
7997.5,15005.5,,,,
7997,15003.5,,,,
7997,15005,,,,
7998,15004.5,,,,
7998,15005.5,,,,
7998,15006.5,,,,
7998.5,15008.5,,,,
7998,15010,,,,
7998,15010.5,,,,
7997.5,15008.5,,,,
7997.5,15008.5,,,,
7998.5,15010.5,,,,
7999.5,15010.5,,,,
7998,15008,,,,
7998,15007,,,,
7998,15007.5,,,,
7997.5,15006.5,,,,
7997.5,15004.5,,,,
7997,15004.5,,,,
7998,15005.5,,,,
7999,15004,,,,
7999,15003,,,,
7999.5,15000.5,,,,
7999.5,14999.5,,,,
8000,14999.5,,,,
7999.5,14997.5,,,,
7998.5,14994.5,,,,
7998,14993.5,,,,
7998.5,14996.5,,,,
7999.5,14996.5,,,,
7999.5,15000.5,,,,
8001.5,15005.5,,,,
8002,15007,,,,
8002,15008.5,,,,
8001.5,15009.5,,,,
8003.5,15014.5,,,,
8004.5,15013.5,,,,
8001.5,15011.5,,,,
8003,15013,,,,
8002.5,15013.5,,,,
8003,15016,,,,
8001.5,15013.5,,,,
8002.5,15015.5,,,,
8003.5,15017.5,,,,
8003,15017.5,,,,
8002.5,15015,,,,
8002.5,15012.5,,,,
8002.5,15014.5,,,,
8003,15012,,,,
8002.5,15011.5,,,,
8003.5,15012.5,,,,
8004,15015,,,,
8004,15014,,,,
8004.5,15013.5,,,,
8004.5,15013.5,,,,
8004,15015.5,,,,
8004,15016.5,,,,
8002,15012.5,,,,
8002,15013.5,,,,
8001.5,15016.5,,,,
8003.5,15020.5,,,,
8003,15018.5,,,,
8004.5,15020.5,,,,
8005.5,15022,,,,
8003.5,15020.5,,,,
8004.5,15021,,,,
8004.5,15021.5,,,,
8003.5,15022.5,,,,
8004.5,15024.5,,,,
8004.5,15028.5,,,,
8005,15028.5,,,,
8005,15028.5,,,,
8005,15030,,,,
8005,15031,,,,
8005.5,15032,,,,
8006,15031,,,,
8006,15032.5,,,,
8005,15031.5,,,,
8006,15031.5,,,,
8004,15028.5,,,,
8003.5,15029,,,,
8005,15031.5,,,,
8005,15029,,,,
8004.5,15026.5,,,,
8004,15026.5,,,,
8003,15022.5,,,,
8004,15025.5,,,,
8004.5,15027,,,,
8003.5,15026.5,,,,
8005,15028,,,,
8004.5,15027.5,,,,
8005,15029,,,,
8004,15025.5,,,,
8003.5,15025.5,,,,
8004,15028.5,,,,
8004,15026.5,,,,
8004,15026.5,,,,
8004,15027,,,,
8002.5,15026.5,,,,
8004.5,15029,,,,
8004.5,15027.5,,,,
8005,15029.5,,,,
8004.5,15028.5,,,,
8005,15030.5,,,,
8006.5,15032.5,,,,
8005.5,15032,,,,
8005.5,15027.5,,,,
8005.5,15028,,,,
8005,15025.5,,,,
8004.5,15024,,,,
8004,15023.5,,,,
8004,15023.5,,,,
8005,15026,,,,
8005.5,15026.5,,,,
8005,15026,,,,
8004,15025.5,,,,
8003.5,15027.5,,,,
8003,15026.5,,,,
8003.5,15027,,,,
8002.5,15026.5,,,,
8004,15029.5,,,,
8002.5,15029.5,,,,
8003,15032.5,,,,
8003.5,15035.5,,,,
8001.5,15032,,,,
8002.5,15035,,,,
8003,15036.5,,,,
8001.5,15036.5,,,,
8001.5,15038,,,,
8000.5,15033,,,,
8000.5,15032,,,,
8000.5,15033,,,,
8002,15033.5,,,,
8002.5,15037.5,,,,
8002.5,15037,,,,
8000.5,15034.5,,,,
8000,15036.5,,,,
8000,15037.5,,,,
8000.5,15035.5,,,,
8001,15036.5,,,,
8000,15033.5,,,,
8000,15032.5,,,,
7998.5,15031.5,,,,
7998.5,15031.5,,,,
7997,15026,,,,
7997,15026.5,,,,
7997.5,15028,,,,
7996.5,15024.5,,,,
7997.5,15027.5,,,,
7995.5,15026.5,,,,
7996,15026.5,,,,
7995,15024.5,,,,
7995,15022.5,,,,
7995,15022.5,,,,
7995.5,15024,,,,
7994,15022.5,,,,
7995,15024.5,,,,
7993,15024.5,,,,
7993,15025.5,,,,
7993,15023.5,,,,
7993,15021.5,,,,
7992,15020,,,,
7991.5,15021.5,,,,
7990.5,15019.5,,,,
7990.5,15018.5,,,,
7991.5,15021.5,,,,
7991.5,15024.5,,,,
7991.5,15024.5,,,,
7992.5,15027.5,,,,
7993,15027.5,,,,
7994,15027.5,,,,
7994,15028.5,,,,
7994,15026.5,,,,
7994.5,15028,,,,
7995,15027.5,,,,
7995,15028.5,,,,
7995.5,15028.5,,,,
7994.5,15026.5,,,,
7995.5,15029.5,,,,
7995,15030.5,,,,
7993.5,15023.5,,,,
7994,15027.5,,,,
7993,15025.5,,,,
7994,15027.5,,,,
7993.5,15025.5,,,,
7992.5,15023.5,,,,
7991.5,15020.5,,,,
7992,15019.5,,,,
7991.5,15021.5,,,,
7992,15024.5,,,,
7991.5,15023.5,,,,
7992,15024.5,,,,
7992,15022,,,,
7992,15023.5,,,,
7995,15028.5,,,,
7993.5,15028,,,,
7994.5,15029.5,,,,
7993,15026.5,,,,
7992.5,15025.5,,,,
7992,15024.5,,,,
7991.5,15022.5,,,,
7992,15020.5,,,,
7990.5,15021,,,,
7991,15019.5,,,,
7990,15018.5,,,,
7990.5,15019.5,,,,
7990.5,15019.5,,,,
7990,15021,,,,
7990,15021.5,,,,
7990,15020.5,,,,
7990.5,15022,,,,
7993,15029,,,,
7993,15030,,,,
7992.5,15027,,,,
7992.5,15026.5,,,,
7993,15027.5,,,,
7992.5,15024,,,,
7993.5,15029.5,,,,
7993.5,15025.5,,,,
7993.5,15023,,,,
